Type,Event ,Record ,Athlete ,Nation ,Date ,Meet ,Place ,
Women,81 kg ,,,,,,,
Women,Snatch ,127 kg ,World Standard ,,,,,
Women,Clean & Jerk ,158 kg ,World Standard ,,,,,
Women,Total ,283 kg ,World Standard ,,,,,
Women,87 kg ,,,,,,,
Women,Snatch ,132 kg ,World Standard ,,,,,
Women,Clean & Jerk ,164 kg ,World Standard ,,,,,
Women,Total ,294 kg ,World Standard ,,,,,
Women,+87 kg ,,,,,,,
Women,Snatch ,148 kg ,Li Wenwen , China ,25 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Women,Clean & Jerk ,187 kg ,Li Wenwen , China ,25 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
Women,Total ,335 kg ,Li Wenwen , China ,25 April 2021 ,Asian Championships ,"  Tashkent, Uzbekistan ",
